,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,lang
765,1505651342123372545,1505651342123372545,1647810228000.0,2022-03-20 21:03:48,+0000,,"dimaklum bu, karena keberhasilan ajang motogp mandalika berhasil, jd mereka bingung apa lg yg mau di goreng...",in,[],[],2935680562,2935680562,rafael_61499,eeng sr,7,21,https://twitter.com/rafael_61499/status/1505651342123372545,[],[],0,,False,0,0,0,https://twitter.com/ChusnulCh__/status/1505516022925004807,Mandalika,,,,,,,[],,,,,id
766,1505651275962093570,1505651275962093570,1647810212000.0,2022-03-20 21:03:32,+0000,,Kemenangan Miguel Oliveira di Mandalika juga membuat KTM menghentikan dominasi Honda di Indonesia.  https://t.co/HrsincGM2j,in,[],[],23343960,23343960,kompascom,Kompas.com,7,21,https://twitter.com/kompascom/status/1505651275962093570,['http://dlvr.it/SM3GH0'],[],0,,False,2,0,1,,Mandalika,,,,,,,[],,,,,id
768,1505651173285851137,1505554517986664449,1647810188000.0,2022-03-20 21:03:08,+0000,,"@BossTemlen MotoGP Indonesia   1997 Sentul Internasional Sirkuit melahirkan ""the Doctor"" Valentino Rossi.  2022 Pertamina Mandalika Sirkuit melahirkan the Shaman.  https://t.co/wdr0I25kSS",in,[],[],1361294716172525569,1361294716172525569,Camelaila1,Camelaila,7,21,https://twitter.com/Camelaila1/status/1505651173285851137,[],"['https://pbs.twimg.com/media/FOTWshFVUAgY-gR.jpg', 'https://pbs.twimg.com/media/FOTWshUVgAI9RO-.jpg']",1,https://pbs.twimg.com/media/FOTWshFVUAgY-gR.jpg,False,4,1,0,,Mandalika,,,,,,,"[{'screen_name': 'BossTemlen', 'name': 'Boss', 'id': '1239754822707904513'}]",,,,,id
770,1505651007514378240,1505651007514378240,1647810148000.0,2022-03-20 21:02:28,+0000,,Pada ribut race mandalika sampai pada lupa bahwa all indonesia final terulang kembali di All England. Selamat Bagas dan fikri,in,[],[],783826496,783826496,luuuuth_,salahsendiri.,7,21,https://twitter.com/luuuuth_/status/1505651007514378240,[],[],0,,False,0,0,0,,Mandalika,,,,,,,[],,,,,id
771,1505650923166707713,1505650923166707713,1647810128000.0,2022-03-20 21:02:08,+0000,,Gegara gelaran motoGP Mandalika sukses jdi banyak Kadrun n Kadrunwati pade kelojotan kepanasan gak karuan 😂 . .,in,[],[],3167189054,3167189054,m_yanto_baemo,Mohamad Yanto,7,21,https://twitter.com/m_yanto_baemo/status/1505650923166707713,[],[],0,,False,1,0,0,https://twitter.com/cagubnyinyir2/status/1505603221385277440,Mandalika,,,,,,,[],,,,,id
772,1505650892430721024,1505462783751585794,1647810121000.0,2022-03-20 21:02:01,+0000,,"@BrgtRJ @Sigmahalim @GeiszChalifah Hahaha pola pikir kadrun yg dangkal. Mana kalimat gw yg mempertentangkan? Justru gw mendukung tweetnya kok. Ada kadrun yg mempertentangkan Mandalika gw sebut kadrun OD, eh kadrun2 yg lain kayak elu malah membela si OD. Hahahah Lawak ku drun. Berani nanya gak?",in,[],[],108582126,108582126,MaulanaNur,Maulana Nur,7,21,https://twitter.com/MaulanaNur/status/1505650892430721024,[],[],0,,False,0,2,0,,Mandalika,,,,,,,"[{'screen_name': 'BrgtRJ', 'name': 'selalu dilema tapi di bawah receh aja', 'id': '1306627015735259142'}, {'screen_name': 'Sigmahalim', 'name': 'SUHALIM', 'id': '1194978102029340673'}, {'screen_name': 'GeiszChalifah', 'name': 'Geisz Chalifah', 'id': '1297510664148103168'}]",,,,,id
773,1505650888169619458,1505650888169619458,1647810120000.0,2022-03-20 21:02:00,+0000,,Salah mantra. Tolak hujan malah jadi tolak penonton. Kurang sakti apa coba Pawang Hujan di Mandalika MotoGP series 2022😂😂😂 Hanya di ada di Negri dimana Islam hanya jadi olok2....,in,[],[],1410107925301915660,1410107925301915660,gelem2_dewek,belum boleh sebut,7,21,https://twitter.com/gelem2_dewek/status/1505650888169619458,[],[],0,,False,0,0,0,https://twitter.com/KRMTRoySuryo2/status/1505366037964869633,Mandalika,,,,,,,[],,,,,id
774,1505650682401071126,1505650682401071126,1647810070000.0,2022-03-20 21:01:10,+0000,,"MotoGP Mandalika 2022 telah tuntas. Meski disertai beberapa catatan, perhelatan ini diharapkan jadi kebangkitan Indonesia di tengah pandemi COVID-19.  https://t.co/XFnqbqQEuD",in,[],[],69183155,69183155,detikcom,detikcom,7,21,https://twitter.com/detikcom/status/1505650682401071126,['https://sport.detik.com/moto-gp/d-5992745/semoga-motogp-mandalika-jadi-momentum-kebangkitan-indonesia?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikcom&utm_source=Twitter#Echobox=1647801112'],[],0,,False,43,1,1,,Mandalika,,,,,,,[],,,,,id
775,1505650492600315905,1505650492600315905,1647810025000.0,2022-03-20 21:00:25,+0000,,"Untuk musim depan, belakang paddock Mandalika bisa tuh dibikin kolam renang khusus pembalap. Pasti gk ada di Sirkuit lain.  https://t.co/n9pyGlv85E",in,[],[],1501495279689682944,1501495279689682944,brofi05,brofi,7,21,https://twitter.com/brofi05/status/1505650492600315905,[],['https://pbs.twimg.com/media/FOUlJMLVIAcGosP.jpg'],1,https://pbs.twimg.com/media/FOUlJMLVIAcGosP.jpg,False,0,0,0,,Mandalika,,,,,,,[],,,,,id
777,1505650386820026370,1505650386820026370,1647810000000.0,2022-03-20 21:00:00,+0000,,Penantian 25 Tahun Mandalika Sukses Gelar MotoGP 2022.  Nantikan beritanya dalam Kabar Pagi bersama Rendra Kusuma &amp; Tiara Harahap jam 04.30 WIB hanya di tvOne &amp; live streaming di  http://  https://t.co/7Gr3a5KWDi #KabarPagitvOne #CariBeritaditvOne  https://t.co/lLrHfwhJLa,in,"['kabarpagitvone', 'cariberitaditvone']",[],55507370,55507370,tvOneNews,tvOnenews,7,21,https://twitter.com/tvOneNews/status/1505650386820026370,['http://linktr.ee/tvonenews'],['https://pbs.twimg.com/media/FOSh0-qaMAQT_P5.jpg'],1,https://pbs.twimg.com/media/FOSh0-qaMAQT_P5.jpg,False,6,1,0,,Mandalika,,,,,,,[],,,,,id
