,date,tweet,username,tweet_clean
664,2022-03-20 19:13:17,"@ryorossi4689 @erickthohir Kalau yang ini dilakukan di Mandalika, yakin puluhan tahun orang akan selalu ingat dengan #MotoGP #Mandalika dan Indonesia akan semakin diatas.",Waranda_Jr,kalau yang laku mandalika yakin puluh tahun orang akan selalu ingat dengan motogp mandalika indonesia akan makin atas
665,2022-03-20 19:11:33,"Saksikan Pergelaran MotoGP Mandalika, Menaker Ida: Saya bangga!   https://t.co/4DhEdZJUVl",KabarSiang,saksi gelar motogp mandalika menaker saya bangga
666,2022-03-20 19:11:13,Penonton MotoGP Mandalika menceritakan pengalaman berjalan kaki hingga 1 jam ke parkiran utama sirkuit. Peristiwa itu terjadi karena shuttle bus tak ada.  https://t.co/RaSRN3e8Tu,detikcom,tonton motogp mandalika cerita alam jalan kaki hingga parkir utama sirkuit peristiwa jadi karena shuttle
667,2022-03-20 19:10:59,@SisiwittFrida Yg jls sby ga mampu bikin perhelatan internasional GP mandalika yg mengharumkan Indonesia di dunia internasional,edo_macho,mampu bikin helat internasional mandalika harum indonesia dunia internasional
668,2022-03-20 19:09:11,@iwanfals Ada konsernya @slankdotcom juga di mandalika...,Galuhibenk,konser juga mandalika
669,2022-03-20 19:08:04,"Aksi pawang hujan sepertinya akan berlaku di Mandalika, tidak untuk formula E karena diselenggarakan pada bulan Juni.",brofi05,aksi pawang hujan seperti akan laku mandalika tidak untuk formula karena selenggara pada bulan juni
670,2022-03-20 19:07:53,"Tidak berlebihan rasa nya jika mengapresiasi semua pihak yg terlibat, walau pun masih banyak catatan. Terimakasih telah membuat catatan baru untuk kemajuan bangsa.   Btw mandalika keren sih emang.",riyan_amar,tidak lebih rasa jika apresiasi semua pihak libat walau masih banyak catat terimakasih telah buat catat baru untuk maju bangsa mandalika keren emang
671,2022-03-20 19:07:32,pawang ujan mandalika ngirim ujannya ke kalimantan gw rasa. hari ini ujan seharian bray trs pas sini berenti eh di sono nya ujan,vaIamakki,pawang ujan mandalika ngirim ujannya kalimantan rasa hari ujan hari bray sini renti sono ujan
672,2022-03-20 19:05:52,"Orgorg pda hype bgt mandalika gue kaya org bego gt barutau kl itu lg ngadain motogp, trs w kira acaranya di jkt",meinerjwn,orgorg hype mandalika kaya bego barutau ngadain motogp kira acara
673,2022-03-20 19:04:48,"Ehhh mbak riri jadi pawang hujan sirkuit mandalika toh, padahal basicnya cuman diajarin tarot dulu seingatku",elegidinihari_,ehhh mbak riri jadi pawang hujan sirkuit mandalika padahal basicnya cuman diajarin tarot dulu ingat
674,2022-03-20 19:03:51,@maximvsatriaus @DokterTifa @Toletto @morodjoyo @mr_triyoga @rezapahlevie24 @StopPlandemit @alvinrio_1501 @negaraSepiteng @HukumDan @Benk299120211 @masabieee usai balap motor GP di sirkuit mandalika jokodok dan luhut akan umum kan angka covid naik mudik di larang tapi bangsa china boleh bebas masuk ke indonesia luhut dan erick thohir kembali bisnis TES PCR,alan09892662,usai balap motor sirkuit mandalika jokodok luhut akan umum angka covid naik mudik larang tapi bangsa china boleh bebas masuk indonesia luhut erick thohir kembali bisnis
675,2022-03-20 19:03:44,"@luthfiwahyu11 @awwisawwis Klo pake masker, percuma dong @ganjarpranowo dtg ke mandalika buat pencitraan, ga bakalan ada yg kenal. 😁",haji_putin,pake masker percuma dong mandalika buat citra bakal kenal
676,2022-03-20 19:03:39,"@budimandjatmiko Kelak semua orang akan mengingat namanya saat menyebut Motogp Mandalika, Indonesia.",soghawoe,kelak semua orang akan ingat nama saat sebut motogp mandalika indonesia
677,2022-03-20 19:03:25,-Hujan di mandalika- Micheline: udah nyiapin ban wet. Indonesia: datengin pawang hujan Buat apa ganti ban kalo bisa ganti cuaca.,Azri_MJ,hujan mandalika micheline udah nyiapin indonesia datengin pawang hujan buat ganti kalo bisa ganti cuaca
678,2022-03-20 19:03:15,"@SisiwittFrida Tapi saya melihatnya dari kadar yg lebih luas, bahwa itu strategi promosi dalam hal ""keunikan"" dan bisa saja hal itu menjadi ""magnet"" bagi mandalika &amp; indonesia utk menyerap sektor turisme",dachyarpatria,tapi saya lihat dari kadar lebih luas bahwa strategi promosi dalam uni bisa saja jadi magnet bagi mandalika indonesia serap sektor turisme
679,2022-03-20 19:02:45,Pengen nonton pawang hujan ke mandalika,AlQadri_,ken nonton pawang hujan mandalika
680,2022-03-20 19:02:43,"@semut_dahsyat @mikefilletti @denkmit Naaah elu sebutin frase yg bagus ""orang tua harus tay persis tujuan mmbrikan itu utk anak"" dalam hal ini jokowi ga tau apa tujuannya kenapa sirkuit dibuat di mandalika, yg pnting asal jangan jakarta, coba bayangkan kalo sirkuit d bangun di jakarta, elektabilitas anies bisa 100%",prayogayuliano,naaah sebutin frase bagus orang harus persis tuju mmbrikan anak dalam jokowi tuju kenapa sirkuit buat mandalika pnting asal jangan jakarta coba bayang kalo sirkuit bangun jakarta elektabilitas anies bisa
681,2022-03-20 19:02:31,Yg bangun mandalika sircuit pak jokowi yg nyari investor pak jokowi  Jg bayar pawang ujannya  Penonton MotoGP Mandalika doakan Anies Presiden! Cie cie ceibong ga bisa ngomong  #Anies #AniesBaswedan  https://t.co/EBHmGVtKk7,ryorossi4689,bangun mandalika sircuit jokowi nyari investor jokowi bayar pawang ujannya tonton motogp mandalika doa anies presiden ceibong bisa ngomong anies aniesbaswedan
682,2022-03-20 19:02:02,"MotoGP Mandalika 2022 telah tuntas. Meski disertai beberapa catatan, perhelatan ini diharapkan jadi kebangkitan Indonesia di tengah pandemi COVID-19.  https://t.co/teAhULsDYi",detiksport,motogp mandalika telah tuntas meski serta beberapa catat helat harap jadi bangkit indonesia tengah pandemi covid
683,2022-03-20 19:01:58,"@muhalyafikri @idextratime Apa hubungannya Ama aspal cuk ,emang Honda di Mandalika ada problem yang serius di ban + memang r213 rawan highside .Heran apa apa aspal yang disalahin kntl",alesandro1610,hubung aspal emang honda mandalika problem yang serius memang rawan highside heran aspal yang disalahin kntl
684,2022-03-20 19:01:29,"@LambeResing @timotius_aprino Wkwkwk asik tenan ini andai Capirossi tahu 😂 @timotius_aprino tahun depan pawangnya boking semua di Mandalika, terus dibuat semacam seremonial budaya.",Bim_o_o,wkwkwk asik tenan andai capirossi tahu tahun depan pawang boking semua mandalika terus buat macam seremonial budaya
685,2022-03-20 19:00:15,ni pembalap namanya sp????otw mandalika  https://t.co/kJQ5Vw1UCQ,liliiiii_1,balap nama mandalika
686,2022-03-20 18:57:09,@varrelfrmnsh @infotwitwor_ Mandalika bisa buat f1 gak? Apa khusus motogp aja,lysorin,mandalika bisa buat khusus motogp
687,2022-03-20 18:56:58,"missing you a little bit too much today — Maaf yaa, hari ini aku leha-leha seharian sambil nonton motogp mandalika. Besok aku janji jadi security timeline.  https://t.co/sPmRmwB9yt",Priambudic,missing little much today maaf hari leha leha hari sambil nonton motogp mandalika besok janji jadi security timeline
688,2022-03-20 18:56:49,"Satu kata Untuk pawang hujan sirkuit mandalika ""konyol""",Diabiasaaja,satu kata untuk pawang hujan sirkuit mandalika konyol
689,2022-03-20 18:56:09,"@RafliPadang @SisiwittFrida @LoeGueNKRI Lbh baik lo gak usah melihat, kasihan SBY nanti, sdh di siapin pawang tp tetap banyak yg mangkrak.  Beda dgn Mandalika yg sukses penyelenggaraanya. 😛",wisnu_aj1,baik usah lihat kasihan nanti siapin pawang tetap banyak mangkrak beda mandalika sukses penyelenggaraanya
690,2022-03-20 18:55:58,Momen Aleix Espargaro Lempar Helm ke Penonton MotoGP Mandalika  https://t.co/Sktwh9HLlw,20detik,momen aleix espargaro lempar helm tonton motogp mandalika
691,2022-03-20 18:55:29,"Trending, Pawang Hujan MotoGP Mandalika Ungkap Bayaran dari MGPA/ITDC  https://t.co/siT1Y0hc54",kangandribdg,trending pawang hujan motogp mandalika ungkap bayar dari mgpa itdc
692,2022-03-20 18:55:27,"Tiba-tiba muncul protes gini dari BEM.,....ngelawak klean, Bobok sono....!!! Orang udah ngomong dukun Mandalika kalian masih migor",Toviq7,tiba tiba muncul protes gin dari ngelawak klean bobok sono orang udah ngomong dukun mandalika kalian masih migor
693,2022-03-20 18:55:05,@aniesbaswedan @MotoGP Mandalika telah membuat keputusan yg salah air hujan itu jatuh ke bumi dimasukkan ke dalam tanah bukan jatuh keaspal dilewatkan gor...,HendroM16,mandalika telah buat putus salah hujan jatuh bumi masuk dalam tanah bukan jatuh aspal lewat
694,2022-03-20 18:54:12,"@bedarmanto harusnya bangga ada MotoGP mandalika.... do'a kan semua lancar dan tidak hujan....  apalagi di lihat banyak penggemarnya di dunia... masalah ritual itu menurut keyakinan kita saja masing2. apalagi niatnya baik dan tidak merugikan orang lain,moga jika ada event dunia cuacanya baik",Prasetyo9Hh,harus bangga motogp mandalika semua lancar tidak hujan apalagi lihat banyak gemar dunia masalah ritual turut yakin kita saja masing apalagi niat baik tidak rugi orang lain moga jika event dunia cuaca baik
695,2022-03-20 18:54:03,"aneh. dunia ini aneh. dunia kerja emang gila tapi ini another level of crazy. akhirnya gue cuma ambil hp gue dari temen gue, terus gue tutup. gue menepi, trs pesen tiket pesawat buat minggu, dan kita bertiga pun tetep ke mandalika. for the sake kita mau nonton motogp juga.",comeonjoycomeon,aneh dunia aneh dunia kerja emang gila tapi another level crazy akhir cuma ambil dari temen terus tutup tepi sen tiket pesawat buat minggu kita tiga tetep mandalika sake kita nonton motogp juga
696,2022-03-20 18:54:00,"disclaimer: akun ini mau cerita😊   hari ini abis dari mandalika. pp. bayangin se-chaotic apa. sekarang aja baru selesai mandi dan makan malem.   jadi dari kantor, aku dan tim itu dikasi tiket motogp+akomodasi untuk sabtu-senin. andaikan saya sadar tidak ada yang gratis di dunia.",comeonjoycomeon,disclaimer akun cerita hari abis dari mandalika bayangin chaotic sekarang baru selesai mandi makan malem jadi dari kantor kasi tiket motogp akomodasi untuk sabtu senin andai saya sadar tidak yang gratis dunia
697,2022-03-20 18:53:45,"@istapuspit @Whisnu_dit @haaallooooo @FikriMRijalul @eoneeighty @PendantOrgonite @MotoGP Bukan bang , itu tempatnya deketan sama Mandalika yang hajatan",yudhipakeH,bukan bang tempat deketan sama mandalika yang hajat
698,2022-03-20 18:52:48,"@tryanha_ @Whisnu_dit @haaallooooo @FikriMRijalul @eoneeighty @PendantOrgonite @MotoGP Aku aja ngakak kak , itu Mandalika bukan 1 orang aja bnyak yg mbantu cuman gak kesorot 🤣",yudhipakeH,ngakak mandalika bukan orang bnyak mbantu cuman sorot
